TRADING_DATE,A B B,Amara Raja Batt.,Atul,Bajaj Electrical,Bata India,Blue Star,Disa India,Exide Inds.,CRISIL,CG Power & Indu.,Wyeth,Dabur India,Titan Company,Dr Reddy's Labs,Merck,Finolex Cables,Godfrey Phillips,Kansai Nerolac,Goodyear India,GHCL
1/1/2008,1456.679391,60.65948303,91.99454115,120.9362765,128.2458221,436.5348725,1717.691231,68.62318056,295.6477111,71.07916228,368.1746305,51.37786603,71.84127709,667.4928812,339.3573209,110.2927574,283.7098793,38.28484346,140.6424641,125.7712128
1/2/2008,1457.788085,61.58964929,96.56051967,121.4901831,125.8199182,437.5658543,1661.869579,68.404217,292.2532885,70.38753072,368.4176271,51.24567598,73.14325492,691.1749792,338.1377079,104.1968293,294.5545883,37.94682672,143.8963044,120.4622427
1/3/2008,1446.556532,65.44577543,92.23276612,120.4790838,125.0657982,440.8306299,1626.60705,70.33109635,287.5189623,72.61196736,365.1545293,52.02119094,71.31118611,664.4863649,333.8309494,107.8543862,299.2261552,37.45759196,145.2744015,118.2359005
1/4/2008,1454.365594,65.08454581,90.0093331,115.2037827,125.5019158,459.4742173,1625.324776,69.63041295,278.3913762,72.44373265,371.6807249,53.44884348,71.32978579,674.014709,332.6494493,109.3783682,300.6487,37.70665693,142.4416464,119.5717058
1/7/2008,1445.303226,63.44095106,92.3518786,113.1200388,124.4297934,448.8636964,1710.296786,67.26560647,284.3275554,71.01373767,401.5693122,54.84124534,77.49558084,658.843365,331.5822879,108.7687754,358.2968896,36.77266331,142.8244511,117.8933863
1/8/2008,1442.362776,60.61432933,87.50797095,109.1283943,121.5041714,442.8496359,1657.381621,65.64527611,284.9772057,69.23792691,377.9639239,52.47944978,74.47313228,649.9625783,333.5260462,106.0256077,329.3805928,35.8297745,147.0353033,113.8174673
1/9/2008,1441.928939,60.39759156,84.56986303,107.9238673,119.5688997,440.9165451,1637.891059,66.17078866,284.2219872,67.53688713,376.0893783,52.17100633,77.03988859,644.8746276,326.8944004,104.545168,330.7153262,36.36348515,144.2791092,113.954473
1/10/2008,1441.977143,59.12425717,85.24483377,108.2403853,113.6449694,432.9264362,1615.023843,65.99561781,284.2219872,67.19107135,356.5802191,50.08240354,72.46436648,638.7228326,324.0740453,97.70902,312.2222436,35.80308897,133.1777715,113.0981875
1/11/2008,1404.859994,59.04298051,84.25222975,108.6008642,113.1452514,415.4427034,1577.666933,70.55005991,284.3113141,67.07891488,361.7178625,49.70345873,72.92005872,629.6107754,321.5585935,103.5001518,310.6328571,36.97725239,129.9239311,113.1324389
1/14/2008,1401.292892,62.17664741,84.76838384,108.3458914,121.3860562,420.5976123,1651.141221,75.67380728,286.5688488,66.72375273,367.4109267,49.95021349,72.57596458,618.1397592,319.3861578,101.3230346,299.5598386,37.43090643,132.6801253,116.4548266
1/15/2008,1386.108603,62.17664741,83.14051324,106.8424306,115.3712681,423.4328122,1581.684724,72.08280485,287.0804484,69.24727328,361.0583002,50.30272029,70.94849228,622.7189148,314.2028025,99.8861372,291.3494719,37.23521253,129.8473702,107.4467033
1/16/2008,1348.316597,63.93764178,79.6068429,107.2556625,112.073129,420.3398669,1581.513754,72.08280485,284.2219872,68.30328967,356.4066501,49.65939538,69.11642347,621.7475788,313.9360121,96.27212264,287.0993997,36.95056685,132.7184058,104.7750926
1/17/2008,1334.578431,66.76426352,78.33630975,106.8863914,114.2809742,405.7342915,1568.220849,72.34556113,284.7498281,69.63047455,358.2811956,49.59770669,68.71653028,621.9788493,315.7654317,97.01234249,289.988395,37.51985821,137.656587,109.29628
1/18/2008,1315.007571,65.67154394,72.26157311,106.9303522,105.7857674,416.3448124,1463.031656,68.31663157,284.2463491,65.66761264,359.4267513,49.99427684,64.67109914,623.9215214,304.4077855,92.74519278,272.215366,37.09288969,132.3738815,104.1928184
1/21/2008,1230.698618,56.10798989,62.93109526,96.23907545,98.7170285,402.9850068,1316.083079,65.20734898,269.0120506,61.62997976,342.2087033,44.8388649,56.74763402,576.8811042,279.2532671,78.0278805,244.9938294,31.72020255,119.0139959,83.36795531
1/22/2008,1171.503995,66.67395612,57.05487943,86.6204432,76.32057427,383.6111406,1158.919055,64.63804372,243.6188462,57.54561501,300.3438528,40.03595976,51.33512615,551.8113834,262.6360398,80.46625176,231.5586839,33.22348753,108.142341,66.72176539
1/23/2008,1209.247798,70.46686707,60.90618305,85.565383,87.4052291,395.897007,1260.774336,65.82044696,268.0375752,61.92906368,325.4419348,44.17791465,52.51620605,568.6478748,282.3404125,84.08026632,230.5488527,33.17901164,118.5163497,76.82593417
1/24/2008,1129.084396,64.00085697,57.29310439,83.40250957,79.40974037,381.4203043,1247.438689,65.07597085,259.6652075,61.50847692,318.0131802,44.68023684,51.34442599,524.7064822,277.0046056,85.16882492,228.3623486,33.81056924,111.1664985,73.81180924
1/25/2008,1210.645716,70.21400634,60.86647889,85.60055167,88.6136382,398.5603766,1278.726169,70.19971821,266.6814303,63.24690219,295.2062095,44.88292825,56.71973449,560.0446127,277.8812024,85.60424836,239.3036501,34.91357123,119.588203,84.32699506
1/28/2008,1168.61175,70.09660671,60.5488456,84.65099748,85.63350149,397.099819,1215.809269,69.14869311,256.9366765,66.61159626,306.9741898,43.91353455,56.40353987,522.717556,273.3076537,87.17177274,244.098153,33.36581037,117.5593378,95.93822631
1/29/2008,1155.162809,69.3109323,61.42233714,86.13687394,84.34332035,404.4455643,1251.841162,70.81281619,272.0410449,65.1068303,327.5941908,44.54804679,58.77499951,499.2204745,275.213299,85.12528257,247.6720773,33.41918143,117.329655,98.60983704
1/30/2008,1105.416188,67.43253831,57.84896265,86.2599643,80.43643381,421.3708487,1211.791477,67.17802105,277.2220057,62.52723151,326.9346285,43.20852095,54.19947739,498.989204,275.2895248,85.73487539,242.0082415,33.91731137,114.994546,93.23236416
